,RO_VALUE,LAYER_OR_BOUNDARY
1114,20020,layer
1115,20020,layer
1116,20000,layer
1117,19978,layer
1118,19984,layer
1119,20000,layer
1120,20000,layer
1121,19980,layer
1122,19973,layer
1123,19973,layer
1124,19900,layer
1125,19840,layer
1126,19846,layer
1127,19860,layer
1128,20012,layer
1129,20019,layer
1130,20004,layer
1131,20000,layer
1132,20000,layer
1133,19976,layer
1134,19997,layer
1135,19983,layer
1136,19978,layer
1137,20000,layer
1138,19976,layer
1139,19980,layer
1140,19840,layer
1141,19846,layer
1142,19880,layer
1143,20058,layer
1144,20020,layer
1145,20000,layer
1146,19984,layer
1147,20000,layer
1148,20000,layer
1149,20000,layer
1150,19980,layer
1151,19980,layer
1152,19999,layer
1153,19968,layer
1154,20000,layer
1155,19856,layer
1156,19844,layer
1157,19866,layer
1158,19936,layer
1159,20040,layer
1160,20008,layer
1161,20004,layer
1162,20000,layer
1163,20000,layer
1164,19980,layer
1165,20004,layer
1166,20000,layer
1167,19984,layer
1168,20000,layer
1169,19968,layer
1170,20004,layer
1171,20007,layer
1172,19984,layer
1173,19982,layer
1174,20000,layer
1175,19980,layer
1176,19972,layer
1177,19853,layer
1178,19854,layer
1179,19860,layer
1180,20020,layer
1181,20020,layer
1182,20000,layer
1183,20000,layer
1184,20005,layer
1185,20006,layer
1186,20000,layer
1187,20000,layer
1188,19984,layer
1189,20000,layer
1190,20015,layer
1191,19982,layer
1192,19844,layer
1193,19850,layer
1194,19871,layer
1195,19900,layer
1196,20040,layer
1197,20020,layer
1198,20000,layer
1199,19980,layer
1200,19980,layer
1201,19976,layer
1202,20000,layer
1203,20005,layer
1204,19982,layer
1205,20000,layer
1206,19984,layer
1207,19940,layer
1208,19880,layer
1209,19860,layer
1210,19860,layer
1211,20020,layer
1212,20020,layer
1213,20000,layer
1214,20005,layer
1215,20000,layer
1216,20012,layer
1217,19986,layer
1218,20000,layer
1219,20000,layer
1220,20007,layer
1221,20001,layer
1222,19975,layer
1223,19840,layer
1224,19840,layer
1225,19864,layer
1226,19966,layer
1227,20026,layer
1228,19985,layer
1229,20000,layer
1230,19998,layer
1231,19990,layer
1232,20000,layer
1233,19980,layer
1234,19980,layer
1235,19984,layer
1236,20000,layer
1237,20000,layer
1238,20007,layer
1239,19984,layer
1240,20000,layer
1241,20000,layer
1242,20013,layer
1243,19904,layer
1244,19844,layer
1245,19880,layer
1246,19982,layer
1247,20006,layer
1248,19980,layer
1249,19980,layer
1250,19980,layer
1251,19986,layer
1252,20000,layer
1253,19968,layer
1254,20000,layer
1255,20000,layer
1256,20000,layer
1257,20000,layer
1258,19854,layer
1259,19840,layer
1260,19860,layer
1261,20001,layer
1262,19979,layer
1263,20020,layer
1264,20000,layer
1265,20000,layer
1266,20000,layer
1267,20012,layer
1268,20000,layer
1269,19980,layer
1270,19982,layer
1271,19980,layer
1272,19989,layer
1273,19868,layer
1274,19860,layer
1275,19880,layer
1276,19865,layer
1277,19983,layer
1278,20006,layer
1279,20004,layer
1280,19980,layer
1281,20000,layer
1282,20000,layer
1283,20000,layer
1284,19978,layer
1285,20003,layer
1286,20000,layer
1287,20000,layer
1288,19958,layer
1289,19860,layer
1290,19852,layer
1291,19880,layer
1292,20020,layer
1293,20024,layer
1294,20000,layer
1295,20000,layer
1296,20000,layer
1297,20016,layer
1298,20026,layer
1299,20020,layer
1300,20007,layer
1301,19980,layer
1302,19978,layer
1303,20000,layer
1304,20008,layer
1305,20017,layer
1306,20007,layer
1307,20000,layer
1308,20020,layer
1309,20013,layer
1310,20000,layer
1311,20000,layer
1312,20004,layer
1313,20020,layer
1314,20020,boundary
1315,19960,layer
1316,20001,layer
1317,20020,layer
1318,19980,layer
1319,19960,layer
1320,19964,layer
1321,20004,layer
1322,20000,layer
1323,19880,layer
1324,19860,layer
1325,19880,layer
1326,19900,layer
1327,19900,layer
1328,19920,layer
1329,19922,layer
1330,19926,layer
1331,19960,layer
1332,19960,layer
1333,19960,layer
1334,19964,layer
1335,20084,layer
1336,20040,layer
1337,20020,layer
1338,20020,layer
1339,19984,layer
1340,19960,layer
1341,19960,layer
1342,19980,layer
1343,20000,layer
1344,19900,layer
1345,19840,layer
1346,19859,layer
1347,19844,layer
1348,19880,layer
1349,19900,layer
1350,19958,layer
1351,19964,layer
1352,19976,layer
1353,19960,layer
1354,19960,layer
1355,19966,layer
1356,19948,layer
1357,20080,layer
1358,20020,layer
1359,20005,layer
1360,19984,layer
1361,20004,layer
1362,19997,layer
1363,19980,layer
1364,19840,layer
1365,19844,layer
1366,19878,layer
1367,19880,layer
1368,19906,layer
1369,19940,layer
1370,19980,layer
1371,19980,layer
1372,19960,layer
1373,19946,layer
1374,19944,layer
1375,20000,layer
1376,20060,layer
1377,20020,layer
1378,20020,layer
1379,20000,layer
1380,19960,layer
1381,19964,layer
1382,20000,layer
1383,20000,layer
1384,20000,layer
1385,19840,layer
1386,19882,layer
1387,19844,layer
1388,19867,layer
1389,19938,layer
1390,19960,layer
1391,19971,layer
1392,19980,layer
1393,19968,layer
1394,19960,layer
1395,19980,layer
1396,19960,layer
1397,20060,layer
1398,20020,layer
1399,20000,layer
1400,19980,layer
1401,19980,layer
1402,20000,layer
1403,19984,layer
1404,19980,layer
1405,20020,layer
1406,20020,layer
1407,19980,layer
1408,19984,layer
1409,20004,layer
1410,20006,layer
1411,19984,layer
1412,19920,layer
1413,19860,layer
1414,19860,layer
1415,19860,layer
1416,19920,layer
1417,19931,layer
1418,19944,layer
1419,19966,layer
1420,19980,layer
1421,19980,layer
1422,19964,layer
1423,19944,layer
1424,20020,layer
1425,20048,layer
1426,20040,layer
1427,20020,layer
1428,20006,layer
1429,19944,layer
1430,19963,layer
1431,19985,layer
1432,20000,layer
1433,20007,layer
1434,19840,layer
1435,19833,layer
1436,19840,layer
1437,19864,layer
1438,19880,layer
1439,19920,layer
1440,19960,layer
1441,19964,layer
1442,19960,layer
1443,19944,layer
1444,19940,layer
1445,19940,layer
1446,20100,layer
1447,20060,layer
1448,20020,layer
1449,19966,layer
1450,19958,layer
1451,19980,layer
1452,20000,layer
1453,19944,layer
1454,19840,layer
1455,19854,layer
1456,19860,layer
1457,19896,layer
1458,19928,layer
1459,19980,layer
1460,19958,layer
1461,19964,layer
1462,19960,layer
1463,19960,layer
1464,19960,layer
1465,19956,layer
1466,20080,layer
1467,20044,layer
1468,20015,layer
1469,20014,layer
1470,19980,layer
1471,19964,layer
1472,20000,layer
1473,20015,layer
1474,20000,layer
1475,19840,layer
1476,19820,layer
1477,19840,layer
1478,19846,layer
1479,19879,layer
1480,19900,layer
1481,19940,layer
1482,19960,layer
1483,19964,layer
1484,19962,layer
1485,19940,layer
1486,19944,layer
1487,19963,layer
1488,20043,layer
1489,20000,layer
1490,19980,layer
1491,19980,layer
1492,19986,layer
1493,20000,layer
1494,19964,layer
1495,20020,layer
1496,20020,layer
1497,20000,layer
1498,20000,layer
1499,19964,layer
1500,19980,layer
1501,19980,layer
1502,20000,layer
1503,20020,layer
1504,19933,layer
1505,19884,layer
1506,19864,layer
1507,19900,layer
1508,19905,layer
1509,19900,layer
1510,19920,layer
1511,19960,layer
1512,19964,layer
1513,19980,layer
1514,19960,layer
1515,19966,layer
1516,20100,layer
1517,20064,layer
1518,20020,layer
1519,19980,layer
1520,20014,layer
1521,20020,layer
1522,20020,layer
1523,19942,layer
1524,19927,layer
1525,19940,layer
1526,19980,layer
1527,20006,layer
1528,19860,layer
1529,19832,layer
1530,19860,layer
1531,19879,layer
1532,19900,layer
1533,19920,layer
1534,19960,layer
1535,19964,layer
1536,19951,layer
1537,19964,layer
1538,19960,layer
1539,19944,layer
1540,20024,layer
1541,20060,layer
1542,20020,layer
1543,20018,layer
1544,19980,layer
1545,19964,layer
1546,20001,layer
1547,20003,layer
1548,19840,layer
1549,19840,layer
1550,19860,layer
1551,19864,layer
1552,19900,layer
1553,19944,layer
1554,19984,layer
1555,19984,layer
1556,19946,layer
1557,19940,layer
1558,19944,layer
1559,19957,layer
1560,20098,layer
1561,20026,layer
1562,20004,layer
1563,20004,layer
1564,20020,layer
1565,20020,layer
1566,20009,layer
1567,19960,layer
1568,19980,layer
1569,19980,layer
1570,19980,layer
1571,19940,layer
1572,19840,layer
1573,19842,layer
1574,19866,layer
1575,19884,layer
1576,19904,layer
1577,19940,layer
1578,19960,layer
1579,19960,layer
1580,19960,layer
1581,19980,layer
1582,19960,layer
1583,19960,layer
1584,20044,layer
1585,20020,layer
1586,20000,layer
1587,20020,layer
1588,20000,layer
1589,20002,layer
1590,19964,layer
1591,20000,layer
1592,20040,layer
1593,20020,layer
1594,20020,layer
1595,20000,layer
1596,19980,layer
1597,20000,layer
1598,20004,layer
1599,19998,layer
1600,19924,layer
1601,19900,layer
1602,19880,layer
1603,19860,layer
1604,19864,layer
1605,19900,layer
1606,19920,layer
1607,19922,layer
1608,19960,layer
1609,19980,layer
1610,19980,layer
1611,19964,layer
1612,19960,layer
1613,20080,layer
1614,20024,layer
1615,20000,layer
1616,20018,layer
1617,20006,layer
1618,20000,layer
1619,19980,layer
1620,19964,layer
1621,19964,layer
1622,19980,layer
1623,20000,layer
1624,19873,layer
1625,19840,layer
1626,19860,layer
1627,19880,layer
1628,19920,layer
1629,19964,layer
1630,19984,layer
1631,19985,layer
1632,19964,layer
1633,19940,layer
1634,19946,layer
1635,19962,layer
1636,20102,layer
1637,20024,layer
1638,20004,layer
1639,20000,layer
1640,19980,layer
1641,19980,layer
1642,19984,layer
1643,19997,layer
1644,19924,layer
1645,19820,layer
1646,19840,layer
1647,19860,layer
1648,19880,layer
1649,19957,layer
1650,19960,layer
1651,19996,layer
1652,19951,layer
1653,19963,layer
1654,19946,layer
