load_bytes	store_bytes	fetch_bytes	uop_bytes	accum_bytes	ofm_dim	ifm_dim	kernel_dim	stride	pad
407680	96800	19472	36	1147520	(55, 55, 32)	(55, 55, 32)	(3, 3)	(1, 1)	(1, 1)
591360	15552	1168	16	221952	(9, 9, 192)	(17, 17, 192)	(2, 2)	(2, 2)	(0, 0)
133120	12544	800	36	50176	(14, 14, 64)	(14, 14, 64)	(3, 3)	(1, 1)	(1, 1)
140160	4704	1152	36	75264	(7, 7, 96)	(14, 14, 96)	(3, 3)	(2, 2)	(0, 0)
7314944	376320	5856	36	1611264	(14, 14, 512)	(28, 28, 512)	(3, 3)	(2, 2)	(0, 0)
613296	346112	20080	16	1343488	(104, 104, 32)	(208, 208, 32)	(2, 2)	(2, 2)	(0, 0)
175104	6272	1072	36	100352	(14, 14, 32)	(28, 28, 32)	(3, 3)	(2, 2)	(0, 0)
114688	50176	19824	36	1189888	(28, 28, 64)	(56, 56, 64)	(3, 3)	(2, 2)	(0, 0)
380928	10192	976	16	163072	(7, 7, 208)	(14, 14, 208)	(2, 2)	(2, 2)	(0, 0)
6809472	173056	2928	36	692224	(26, 26, 256)	(26, 26, 256)	(3, 3)	(1, 1)	(1, 1)
158208	4704	1152	36	75264	(7, 7, 96)	(14, 14, 96)	(3, 3)	(2, 2)	(0, 0)
395520	20736	496	16	313600	(18, 18, 64)	(35, 35, 64)	(2, 2)	(2, 2)	(0, 0)
6697680	235200	8496	36	1531136	(35, 35, 192)	(71, 71, 192)	(3, 3)	(2, 2)	(0, 0)
91136	31360	1872	36	501760	(14, 14, 160)	(28, 28, 160)	(3, 3)	(2, 2)	(0, 0)
224640	150528	32368	16	311296	(28, 28, 192)	(56, 56, 192)	(2, 2)	(2, 2)	(0, 0)
724992	12544	2928	36	200704	(7, 7, 256)	(14, 14, 256)	(3, 3)	(2, 2)	(0, 0)
7314944	376320	3296	16	1611264	(14, 14, 512)	(28, 28, 512)	(2, 2)	(2, 2)	(0, 0)
208896	25088	448	36	100352	(28, 28, 32)	(28, 28, 32)	(3, 3)	(1, 1)	(1, 1)
102912	18816	1168	36	301056	(14, 14, 96)	(28, 28, 96)	(3, 3)	(2, 2)	(0, 0)
566784	46240	1872	36	184960	(17, 17, 160)	(17, 17, 160)	(3, 3)	(1, 1)	(1, 1)
278016	12544	816	36	200704	(14, 14, 64)	(28, 28, 64)	(3, 3)	(2, 2)	(0, 0)
355840	7840	688	16	125440	(7, 7, 160)	(14, 14, 160)	(2, 2)	(2, 2)	(0, 0)
315392	401408	2576	36	565248	(56, 56, 128)	(56, 56, 128)	(3, 3)	(1, 1)	(1, 1)
114688	50176	10864	16	802816	(28, 28, 64)	(56, 56, 64)	(2, 2)	(2, 2)	(0, 0)
4098160	50176	11376	36	200704	(7, 7, 1024)	(7, 7, 1024)	(3, 3)	(1, 1)	(1, 1)
1459600	6400	2496	16	78400	(4, 4, 400)	(7, 7, 400)	(2, 2)	(2, 2)	(0, 0)
156672	150528	2224	36	602112	(28, 28, 192)	(28, 28, 192)	(3, 3)	(1, 1)	(1, 1)
608256	43264	2928	36	173056	(13, 13, 256)	(13, 13, 256)	(3, 3)	(1, 1)	(1, 1)
1451760	2160	2736	36	47040	(3, 3, 240)	(7, 7, 240)	(3, 3)	(2, 2)	(0, 0)
3770368	50176	11376	36	802816	(7, 7, 1024)	(14, 14, 1024)	(3, 3)	(2, 2)	(0, 0)
623616	100352	3472	36	296960	(56, 56, 32)	(112, 112, 32)	(3, 3)	(2, 2)	(0, 0)
589056	12544	1648	16	200704	(7, 7, 256)	(14, 14, 256)	(2, 2)	(2, 2)	(0, 0)
43136	25088	304	36	100352	(14, 14, 128)	(14, 14, 128)	(3, 3)	(1, 1)	(1, 1)
200512	3072	1248	16	37632	(4, 4, 192)	(7, 7, 192)	(2, 2)	(2, 2)	(0, 0)
341184	768	1248	16	6912	(2, 2, 192)	(3, 3, 192)	(2, 2)	(2, 2)	(0, 0)
663552	50176	2928	36	802816	(14, 14, 256)	(28, 28, 256)	(3, 3)	(2, 2)	(0, 0)
41024	350464	28512	16	1337600	(74, 74, 64)	(147, 147, 64)	(2, 2)	(2, 2)	(0, 0)
530160	3840	1536	16	47040	(4, 4, 240)	(7, 7, 240)	(2, 2)	(2, 2)	(0, 0)
1032192	200704	3472	36	282624	(56, 56, 64)	(56, 56, 64)	(3, 3)	(1, 1)	(1, 1)
991232	12544	1936	16	200704	(7, 7, 256)	(14, 14, 256)	(2, 2)	(2, 2)	(0, 0)
101920	46656	19120	36	1140480	(27, 27, 64)	(55, 55, 64)	(3, 3)	(2, 2)	(0, 0)
487424	25088	5488	16	401408	(28, 28, 32)	(56, 56, 32)	(2, 2)	(2, 2)	(0, 0)
404992	50176	9968	36	1197056	(56, 56, 16)	(112, 112, 16)	(3, 3)	(2, 2)	(0, 0)
293120	31360	1856	36	125440	(14, 14, 160)	(14, 14, 160)	(3, 3)	(1, 1)	(1, 1)
